[Curriculum 3 Type 0 Episode 2740]	avg rewards : 7.512,	avg loss: : 0.015874,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2760]	avg rewards : 7.516,	avg loss: : 0.015836,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2780]	avg rewards : 7.519,	avg loss: : 0.015834,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2800]	avg rewards : 7.526,	avg loss: : 0.015838,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2820]	avg rewards : 7.529,	avg loss: : 0.015846,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2840]	avg rewards : 7.533,	avg loss: : 0.015868,	buffer size : 8192,	epsilon : 5.1% 
[Curriculum 3 Type 0 Episode 2860]	avg rewards : 7.543,	avg loss: : 0.015858,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2880]	avg rewards : 7.546,	avg loss: : 0.015841,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2900]	avg rewards : 7.553,	avg loss: : 0.015819,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2920]	avg rewards : 7.549,	avg loss: : 0.015806,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2940]	avg rewards : 7.539,	avg loss: : 0.015818,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2960]	avg rewards : 7.542,	avg loss: : 0.015810,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 2980]	avg rewards : 7.552,	avg loss: : 0.015805,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3000]	avg rewards : 7.568,	avg loss: : 0.015790,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3020]	avg rewards : 7.567,	avg loss: : 0.015753,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3040]	avg rewards : 7.564,	avg loss: : 0.015746,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3060]	avg rewards : 7.567,	avg loss: : 0.015747,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3080]	avg rewards : 7.560,	avg loss: : 0.015755,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3100]	avg rewards : 7.556,	avg loss: : 0.015739,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3120]	avg rewards : 7.559,	avg loss: : 0.015733,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3140]	avg rewards : 7.562,	avg loss: : 0.015731,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3160]	avg rewards : 7.568,	avg loss: : 0.015722,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3180]	avg rewards : 7.580,	avg loss: : 0.015699,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3200]	avg rewards : 7.576,	avg loss: : 0.015679,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3220]	avg rewards : 7.573,	avg loss: : 0.015666,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3240]	avg rewards : 7.578,	avg loss: : 0.015651,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3260]	avg rewards : 7.587,	avg loss: : 0.015646,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3280]	avg rewards : 7.593,	avg loss: : 0.015625,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3300]	avg rewards : 7.604,	avg loss: : 0.015589,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3320]	avg rewards : 7.604,	avg loss: : 0.015563,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3340]	avg rewards : 7.597,	avg loss: : 0.015558,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3360]	avg rewards : 7.606,	avg loss: : 0.015543,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3380]	avg rewards : 7.602,	avg loss: : 0.015537,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3400]	avg rewards : 7.607,	avg loss: : 0.015510,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3420]	avg rewards : 7.610,	avg loss: : 0.015480,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3440]	avg rewards : 7.618,	avg loss: : 0.015446,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3460]	avg rewards : 7.623,	avg loss: : 0.015411,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3480]	avg rewards : 7.628,	avg loss: : 0.015398,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3500]	avg rewards : 7.627,	avg loss: : 0.015380,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3520]	avg rewards : 7.621,	avg loss: : 0.015371,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3540]	avg rewards : 7.626,	avg loss: : 0.015377,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3560]	avg rewards : 7.616,	avg loss: : 0.015387,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3580]	avg rewards : 7.616,	avg loss: : 0.015386,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3600]	avg rewards : 7.618,	avg loss: : 0.015394,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3620]	avg rewards : 7.628,	avg loss: : 0.015396,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3640]	avg rewards : 7.622,	avg loss: : 0.015375,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3660]	avg rewards : 7.627,	avg loss: : 0.015350,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3680]	avg rewards : 7.618,	avg loss: : 0.015333,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3700]	avg rewards : 7.626,	avg loss: : 0.015335,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3720]	avg rewards : 7.620,	avg loss: : 0.015340,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3740]	avg rewards : 7.627,	avg loss: : 0.015334,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3760]	avg rewards : 7.626,	avg loss: : 0.015321,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3780]	avg rewards : 7.623,	avg loss: : 0.015308,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3800]	avg rewards : 7.622,	avg loss: : 0.015288,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3820]	avg rewards : 7.624,	avg loss: : 0.015269,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3840]	avg rewards : 7.611,	avg loss: : 0.015263,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3860]	avg rewards : 7.607,	avg loss: : 0.015273,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3880]	avg rewards : 7.612,	avg loss: : 0.015268,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3900]	avg rewards : 7.604,	avg loss: : 0.015267,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3920]	avg rewards : 7.608,	avg loss: : 0.015261,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3940]	avg rewards : 7.615,	avg loss: : 0.015247,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3960]	avg rewards : 7.615,	avg loss: : 0.015242,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 3980]	avg rewards : 7.607,	avg loss: : 0.015242,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 4000]	avg rewards : 7.611,	avg loss: : 0.015247,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 4020]	avg rewards : 7.616,	avg loss: : 0.015243,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 4040]	avg rewards : 7.620,	avg loss: : 0.015233,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 4060]	avg rewards : 7.607,	avg loss: : 0.015257,	buffer size : 8192,	epsilon : 5.0% 
[Curriculum 3 Type 0 Episode 4080]	avg rewards : 7.599,	avg loss: : 0.015295,	buffer size : 8192,	epsilon : 5.0% 
